Wall time,Step,Value
1624937891.200203,0,0.5775301456451416
1624937929.595923,1,0.5317667126655579
1624937968.587065,2,0.5178418159484863
1624938008.107642,3,0.5100985765457153
1624938048.139513,4,0.5050438642501831
1624938087.81677,5,0.5013133883476257
1624938127.163914,6,0.4983179271221161
1624938166.615592,7,0.4958311915397644
1624938206.730927,8,0.49349239468574524
1624938246.383476,9,0.4913037121295929
1624938286.387379,10,0.4895080626010895
1624938325.838681,11,0.4878077507019043
1624938365.656491,12,0.4861835241317749
1624938405.709673,13,0.48463213443756104
1624938445.645538,14,0.4830581843852997
1624938485.804313,15,0.4815261662006378
1624938525.939713,16,0.48019081354141235
1624938565.621941,17,0.4787692725658417
1624938606.006504,18,0.4774969816207886
1624938646.423689,19,0.47607260942459106
1624938686.7601,20,0.4747573733329773
1624938726.909094,21,0.47369667887687683
1624938766.446715,22,0.4723920226097107
1624938806.175354,23,0.4711763560771942
1624938846.602707,24,0.46984025835990906
1624938886.992007,25,0.46862590312957764
1624938927.661015,26,0.46746277809143066
1624938967.759567,27,0.4662034809589386
1624939008.142096,28,0.4649771749973297
1624939048.317423,29,0.4638644754886627
1624939088.513033,30,0.46276575326919556
1624939128.600924,31,0.4614506661891937
1624939168.894966,32,0.46048441529273987
1624939209.273054,33,0.45937228202819824
1624939249.775768,34,0.45814406871795654
1624939289.583129,35,0.45726478099823
1624939330.032897,36,0.4560930132865906
1624939370.739353,37,0.45494988560676575
1624939411.384437,38,0.45397230982780457
1624939451.696621,39,0.4531165361404419
1624939492.029918,40,0.45215049386024475
1624939532.415855,41,0.45104750990867615
1624939572.523171,42,0.4502527117729187
1624939613.330697,43,0.44900327920913696
1624939653.647813,44,0.4484606683254242
1624939694.081106,45,0.44732919335365295
1624939735.155992,46,0.44658607244491577
1624939775.511932,47,0.44581785798072815
1624939815.780139,48,0.444869726896286
1624939856.414196,49,0.44408464431762695
1624939896.439421,50,0.44336366653442383
1624939936.021744,51,0.4424903988838196
1624939976.740472,52,0.44158461689949036
1624940017.342987,53,0.4412163496017456
1624940057.734458,54,0.44015029072761536
1624940098.423045,55,0.4397788643836975
1624940138.514417,56,0.43895772099494934
1624940178.835598,57,0.43829381465911865
1624940219.132683,58,0.43756651878356934
1624940259.038275,59,0.43699538707733154
1624940299.241065,60,0.43637964129447937
1624940339.612026,61,0.4355805218219757
1624940379.597343,62,0.4351256787776947
1624940420.034647,63,0.4342702329158783
1624940460.501049,64,0.43356814980506897
1624940501.092682,65,0.4330015182495117
1624940541.471621,66,0.43252864480018616
1624940581.806057,67,0.4320200979709625
1624940622.149384,68,0.4311699867248535
1624940662.60132,69,0.43066659569740295
1624940702.9081,70,0.42980995774269104
1624940743.280823,71,0.4295242428779602
1624940783.476054,72,0.42889660596847534
1624940824.060186,73,0.42832547426223755
1624940864.210476,74,0.42773211002349854
1624940904.767388,75,0.42737677693367004
1624940944.998837,76,0.4265466034412384
1624940985.021798,77,0.42619866132736206
1624941025.280399,78,0.42559200525283813
1624941065.545765,79,0.4250929057598114
1624941106.344646,80,0.42457014322280884
1624941146.863441,81,0.4240718483924866
1624941187.536781,82,0.42350009083747864
1624941228.0267,83,0.42317837476730347
1624941268.568057,84,0.42280149459838867
1624941309.312757,85,0.4222869873046875
1624941349.881966,86,0.4214876592159271
1624941390.29113,87,0.42099639773368835
1624941430.767075,88,0.42071184515953064
1624941471.185597,89,0.4199391305446625
1624941511.872766,90,0.41984081268310547
1624941551.983297,91,0.41901856660842896
1624941592.841705,92,0.4185584485530853
1624941633.607529,93,0.41827043890953064
1624941674.470155,94,0.41765615344047546
1624941714.957848,95,0.41724568605422974
1624941755.53419,96,0.4168742001056671
1624941795.995903,97,0.4166279435157776
1624941836.18954,98,0.4158419966697693
1624941876.866544,99,0.415384978055954
1624941917.256695,100,0.415145605802536
1624941957.465948,101,0.41443580389022827
1624941997.88257,102,0.41371938586235046
1624942038.23363,103,0.4132614731788635
1624942078.059791,104,0.4127342998981476
1624942117.855686,105,0.4121667146682739
1624942158.63862,106,0.41173455119132996
1624942199.046702,107,0.4111959934234619
1624942239.28289,108,0.41110172867774963
1624942279.391067,109,0.41040608286857605
1624942319.910735,110,0.41001445055007935
1624942360.625788,111,0.40956568717956543
1624942400.779197,112,0.40890929102897644
1624942441.94276,113,0.4085240662097931
1624942482.557868,114,0.4082820415496826
1624942523.12634,115,0.40788015723228455
1624942563.317761,116,0.4072917103767395
1624942603.77319,117,0.40677815675735474
1624942644.379763,118,0.4063221216201782
1624942684.807261,119,0.4059520363807678
1624942725.172776,120,0.4054187834262848
1624942765.857625,121,0.40477442741394043
1624942806.209027,122,0.40455174446105957
1624942846.725979,123,0.40417733788490295
1624942887.190564,124,0.40364140272140503
1624942927.354664,125,0.4032125771045685
1624942967.9295,126,0.4027274549007416
1624943008.300266,127,0.40239208936691284
1624943048.636631,128,0.40196096897125244
1624943089.54482,129,0.40158459544181824
1624943129.922912,130,0.40076926350593567
1624943170.415152,131,0.4004642963409424
1624943210.702932,132,0.4001521170139313
1624943251.356121,133,0.3999212086200714
1624943292.04047,134,0.399298757314682
1624943332.538396,135,0.39890721440315247
1624943372.701969,136,0.39835450053215027
1624943413.105868,137,0.3981097638607025
1624943453.277524,138,0.39771217107772827
1624943493.437541,139,0.396840900182724
1624943533.743074,140,0.39696550369262695
1624943574.533185,141,0.39643505215644836
1624943614.597436,142,0.3959863483905792
1624943654.941345,143,0.3955274820327759
1624943695.737848,144,0.39521363377571106
1624943736.591139,145,0.3948766589164734
1624943777.410752,146,0.3945140838623047
1624943817.874508,147,0.3941165506839752
1624943858.245504,148,0.3938466012477875
1624943897.999352,149,0.3932620882987976
1624943938.37966,150,0.39288926124572754
1624943978.677258,151,0.39254340529441833
1624944019.183309,152,0.3918697237968445
1624944059.610704,153,0.3914770781993866
1624944100.020511,154,0.3913649320602417
1624944139.814516,155,0.3906859755516052
1624944180.532866,156,0.39070379734039307
1624944220.949864,157,0.3901175558567047
1624944261.212806,158,0.3898909091949463
1624944301.385724,159,0.38970112800598145
1624944341.666252,160,0.38895148038864136
1624944381.993506,161,0.38864198327064514
1624944422.317384,162,0.38811835646629333
1624944462.632556,163,0.3877215087413788
1624944503.054361,164,0.3872661888599396
1624944543.58375,165,0.3868357241153717
1624944584.360021,166,0.3864893615245819
1624944625.074476,167,0.38628390431404114
1624944665.456732,168,0.38603779673576355
1624944706.073732,169,0.3855833411216736
1624944747.02562,170,0.3852490186691284
1624944787.390415,171,0.3845730125904083
1624944827.798128,172,0.3844551146030426
